loan_amnt,term,int_rate,grade,sub_grade,annual_inc,purpose,dti,fico_range_low,fico_range_high,duration,event_type,term_months
12000.0, 36 months,6.49,A,A2,104887.0,credit_card,12.28,725.0,729.0,36.0,2,36.0
6300.0, 36 months,6.11,A,A1,58000.0,credit_card,20.22,685.0,689.0,7.0,0,36.0
20000.0, 36 months,6.97,A,A2,88000.0,debt_consolidation,11.05,740.0,744.0,30.0,2,36.0
21000.0, 60 months,7.89,A,A5,195000.0,home_improvement,12.15,740.0,744.0,35.0,0,60.0
6000.0, 36 months,6.68,A,A3,59000.0,debt_consolidation,13.49,725.0,729.0,17.0,2,36.0
6000.0, 36 months,5.32,A,A1,108000.0,home_improvement,22.21,775.0,779.0,13.0,0,36.0
12500.0, 36 months,8.9,A,A5,109000.0,credit_card,14.93,705.0,709.0,13.0,2,36.0
5000.0, 36 months,8.46,A,A5,50000.0,medical,19.16,775.0,779.0,4.0,0,36.0
3000.0, 36 months,8.38,A,A5,20000.0,educational,6.72,730.0,734.0,4.0,2,36.0
33000.0, 60 months,6.11,A,A1,118000.0,debt_consolidation,15.66,750.0,754.0,8.0,0,60.0
16000.0, 36 months,6.62,A,A2,81768.0,home_improvement,17.02,740.0,744.0,24.0,2,36.0
30000.0, 36 months,7.34,A,A4,72000.0,credit_card,13.63,680.0,684.0,10.0,0,36.0
18000.0, 36 months,6.17,A,A3,106369.0,major_purchase,4.16,785.0,789.0,26.0,2,36.0
16000.0, 36 months,5.32,A,A1,200000.0,credit_card,10.15,710.0,714.0,29.0,0,36.0
20000.0, 36 months,7.35,A,A4,120000.0,debt_consolidation,29.38,715.0,719.0,15.0,0,36.0
6000.0, 36 months,7.69,A,A4,40000.0,credit_card,14.04,700.0,704.0,36.0,2,36.0
10000.0, 36 months,8.46,A,A5,125000.0,debt_consolidation,13.12,720.0,724.0,6.0,0,36.0
10000.0, 36 months,7.97,A,A5,60000.0,credit_card,15.64,685.0,689.0,17.0,0,36.0
14500.0, 36 months,6.19,A,A2,52000.0,house,14.86,825.0,829.0,9.0,0,36.0
2500.0, 36 months,8.19,A,A4,85000.0,moving,1.99,715.0,719.0,3.0,0,36.0
10000.0, 36 months,6.72,A,A3,125000.0,major_purchase,11.87,725.0,729.0,2.0,2,36.0
5000.0, 36 months,5.32,A,A1,82000.0,debt_consolidation,16.29,725.0,729.0,18.0,2,36.0
25000.0, 60 months,8.19,A,A5,165000.0,debt_consolidation,15.74,710.0,714.0,21.0,2,60.0
12000.0, 36 months,8.9,A,A5,85000.0,credit_card,11.76,710.0,714.0,10.0,2,36.0
5000.0, 36 months,5.31,A,A1,95000.0,home_improvement,2.93,755.0,759.0,3.0,2,36.0
8000.0, 36 months,7.49,A,A4,30000.0,debt_consolidation,21.28,665.0,669.0,32.0,2,36.0
10000.0, 36 months,6.46,A,A1,48000.0,debt_consolidation,15.53,700.0,704.0,3.0,0,36.0
4500.0, 36 months,7.99,A,A4,59000.0,debt_consolidation,21.99,710.0,714.0,31.0,0,36.0
8000.0, 36 months,6.11,A,A1,57000.0,credit_card,24.42,750.0,754.0,5.0,0,36.0
10000.0, 36 months,5.32,A,A1,45000.0,debt_consolidation,18.84,795.0,799.0,35.0,0,36.0
5000.0, 36 months,7.97,A,A5,110000.0,home_improvement,10.71,695.0,699.0,17.0,0,36.0
20000.0, 36 months,6.08,A,A2,77000.0,other,18.77,835.0,839.0,15.0,0,36.0
4500.0, 36 months,6.67,A,A2,104000.0,home_improvement,32.18,755.0,759.0,7.0,0,36.0
11000.0, 36 months,6.11,A,A1,140000.0,debt_consolidation,17.44,680.0,684.0,7.0,0,36.0
14400.0, 36 months,5.32,A,A1,136000.0,credit_card,20.57,765.0,769.0,30.0,2,36.0
34500.0, 36 months,7.02,A,A2,150000.0,credit_card,10.96,675.0,679.0,3.0,0,36.0
4000.0, 36 months,6.99,A,A2,70000.0,vacation,20.73,800.0,804.0,29.0,0,36.0
7200.0, 36 months,6.24,A,A2,80000.0,debt_consolidation,18.2,675.0,679.0,2.0,2,36.0
35000.0, 36 months,7.97,A,A5,115000.0,debt_consolidation,25.5,735.0,739.0,14.0,0,36.0
16000.0, 36 months,8.9,A,A5,156550.14,credit_card,6.77,660.0,664.0,36.0,2,36.0
10000.0, 36 months,7.39,A,A4,55000.0,debt_consolidation,14.0,700.0,704.0,16.0,2,36.0
5000.0, 36 months,6.71,A,A3,80000.0,debt_consolidation,11.9,735.0,739.0,11.0,0,36.0
35000.0, 36 months,5.32,A,A1,49700.0,credit_card,12.77,765.0,769.0,14.0,0,36.0
7200.0, 36 months,7.97,A,A5,26000.0,debt_consolidation,8.4,705.0,709.0,13.0,0,36.0
2000.0, 36 months,8.81,A,A5,33000.0,debt_consolidation,16.51,790.0,794.0,3.0,0,36.0
18000.0, 36 months,6.11,A,A1,40000.0,credit_card,15.84,680.0,684.0,5.0,0,36.0
15000.0, 36 months,6.89,A,A3,70000.0,debt_consolidation,5.45,750.0,754.0,32.0,2,36.0
14000.0, 36 months,6.72,A,A3,107000.0,debt_consolidation,17.15,730.0,734.0,16.0,0,36.0
6000.0, 36 months,7.89,A,A5,60000.0,debt_consolidation,2.7,685.0,689.0,14.0,2,36.0
12000.0, 36 months,7.21,A,A3,64000.0,home_improvement,37.61,765.0,769.0,6.0,0,36.0
15000.0, 36 months,6.46,A,A1,61000.0,debt_consolidation,18.93,750.0,754.0,4.0,0,36.0
40000.0, 36 months,7.49,A,A4,170000.0,debt_consolidation,8.75,700.0,704.0,13.0,2,36.0
6500.0, 36 months,7.56,A,A3,65000.0,credit_card,8.84,685.0,689.0,4.0,0,36.0
7000.0, 36 months,7.99,A,A4,32000.0,credit_card,25.58,705.0,709.0,32.0,0,36.0
7000.0, 36 months,7.89,A,A5,56160.0,credit_card,10.56,680.0,684.0,14.0,2,36.0
5000.0, 36 months,5.32,A,A1,86000.0,credit_card,19.45,760.0,764.0,9.0,2,36.0
5000.0, 36 months,5.32,A,A1,90000.0,credit_card,10.39,710.0,714.0,13.0,0,36.0
10000.0, 36 months,6.92,A,A4,37444.0,debt_consolidation,21.25,740.0,744.0,34.0,2,36.0
12000.0, 36 months,7.97,A,A5,58000.0,debt_consolidation,30.54,705.0,709.0,13.0,0,36.0
20000.0, 36 months,7.21,A,A3,92000.0,debt_consolidation,7.51,720.0,724.0,4.0,0,36.0
10500.0, 36 months,6.03,A,A1,50000.0,debt_consolidation,18.17,765.0,769.0,36.0,2,36.0
8500.0, 36 months,7.49,A,A4,36000.0,credit_card,30.03,700.0,704.0,37.0,2,36.0
20000.0, 36 months,5.32,A,A1,120100.0,debt_consolidation,26.06,740.0,744.0,15.0,0,36.0
12400.0, 36 months,7.21,A,A3,90000.0,debt_consolidation,10.96,755.0,759.0,7.0,0,36.0
16000.0, 36 months,7.34,A,A4,76610.0,debt_consolidation,13.13,765.0,769.0,11.0,0,36.0
8500.0, 36 months,6.62,A,A2,104000.0,debt_consolidation,19.15,750.0,754.0,34.0,2,36.0
19000.0, 36 months,6.49,A,A2,110000.0,debt_consolidation,5.3,750.0,754.0,36.0,2,36.0
18000.0, 36 months,6.08,A,A2,47000.0,credit_card,27.55,730.0,734.0,4.0,2,36.0
20000.0, 36 months,8.81,A,A5,115000.0,debt_consolidation,16.84,730.0,734.0,1.0,2,36.0
2000.0, 36 months,7.07,A,A2,35000.0,debt_consolidation,11.64,750.0,754.0,2.0,2,36.0
12000.0, 36 months,6.49,A,A2,112000.0,credit_card,14.89,725.0,729.0,23.0,2,36.0
25000.0, 36 months,6.11,A,A1,98500.0,home_improvement,1.82,825.0,829.0,8.0,0,36.0
10000.0, 36 months,7.89,A,A5,22492.0,credit_card,29.62,720.0,724.0,36.0,2,36.0
33000.0, 36 months,6.11,A,A1,298000.0,debt_consolidation,19.51,700.0,704.0,5.0,0,36.0
35000.0, 36 months,5.32,A,A1,155000.0,debt_consolidation,8.29,760.0,764.0,23.0,0,36.0
30000.0, 36 months,8.9,A,A5,80000.0,credit_card,4.2,715.0,719.0,28.0,2,36.0
19000.0, 36 months,7.89,A,A5,85000.0,credit_card,13.12,690.0,694.0,30.0,2,36.0
24675.0, 36 months,6.49,A,A2,450000.0,debt_consolidation,15.28,690.0,694.0,23.0,2,36.0
8000.0, 36 months,7.89,A,A5,23750.0,credit_card,16.26,670.0,674.0,36.0,2,36.0
2500.0, 36 months,7.35,A,A4,54000.0,debt_consolidation,26.67,760.0,764.0,13.0,0,36.0
25000.0, 36 months,5.32,A,A1,120000.0,credit_card,20.29,780.0,784.0,19.0,2,36.0
6500.0, 36 months,5.32,A,A1,47000.0,credit_card,29.16,680.0,684.0,36.0,2,36.0
2000.0, 36 months,7.89,A,A5,29412.0,debt_consolidation,11.71,720.0,724.0,25.0,2,36.0
16000.0, 36 months,7.21,A,A3,75000.0,debt_consolidation,13.25,710.0,714.0,18.0,0,36.0
20000.0, 36 months,6.72,A,A3,60000.0,small_business,3.66,785.0,789.0,15.0,0,36.0
8600.0, 36 months,7.46,A,A4,42000.0,credit_card,31.31,730.0,734.0,10.0,0,36.0
6000.0, 36 months,7.9,A,A4,25000.0,credit_card,12.87,675.0,679.0,36.0,2,36.0
4500.0, 36 months,8.19,A,A5,63000.0,credit_card,24.16,660.0,664.0,4.0,2,36.0
22000.0, 36 months,8.46,A,A5,83029.0,debt_consolidation,37.95,720.0,724.0,7.0,0,36.0
40000.0, 36 months,7.97,A,A5,176500.0,credit_card,19.32,700.0,704.0,14.0,0,36.0
2000.0, 36 months,5.32,A,A1,60000.0,credit_card,18.1,760.0,764.0,36.0,2,36.0
5000.0, 36 months,6.24,A,A2,52000.0,major_purchase,13.45,750.0,754.0,9.0,2,36.0
10000.0, 36 months,7.89,A,A5,55000.0,debt_consolidation,7.96,685.0,689.0,36.0,2,36.0
17775.0, 36 months,7.62,A,A3,48072.11,debt_consolidation,22.69,725.0,729.0,17.0,2,36.0
9525.0, 36 months,7.89,A,A5,75000.0,debt_consolidation,15.31,685.0,689.0,15.0,2,36.0
16000.0, 60 months,7.89,A,A5,80000.0,debt_consolidation,14.69,735.0,739.0,42.0,0,60.0
20000.0, 60 months,7.89,A,A5,120000.0,credit_card,13.33,725.0,729.0,46.0,0,60.0
30000.0, 36 months,7.12,A,A3,69756.0,major_purchase,6.35,820.0,824.0,21.0,2,36.0
6550.0, 36 months,8.9,A,A5,85000.0,debt_consolidation,14.66,700.0,704.0,14.0,2,36.0
4000.0, 36 months,7.89,A,A5,39000.0,home_improvement,7.42,710.0,714.0,35.0,0,36.0
6000.0, 36 months,7.49,A,A4,22000.0,credit_card,33.77,660.0,664.0,36.0,2,36.0
10000.0, 36 months,7.89,A,A5,80000.0,credit_card,24.42,715.0,719.0,36.0,2,36.0
26500.0, 36 months,5.31,A,A1,109000.0,debt_consolidation,19.11,745.0,749.0,11.0,0,36.0
15000.0, 36 months,7.21,A,A3,83000.0,debt_consolidation,4.18,715.0,719.0,17.0,0,36.0
4500.0, 36 months,6.99,A,A2,40000.0,debt_consolidation,1.8,695.0,699.0,18.0,2,36.0
13700.0, 36 months,7.96,A,A5,58500.0,medical,9.99,725.0,729.0,11.0,0,36.0
12000.0, 36 months,7.99,A,A5,67000.0,major_purchase,25.7,725.0,729.0,29.0,0,36.0
1000.0, 36 months,6.67,A,A2,60000.0,other,27.85,765.0,769.0,4.0,2,36.0
12000.0, 36 months,5.32,A,A1,65000.0,debt_consolidation,6.68,760.0,764.0,11.0,2,36.0
15000.0, 36 months,6.08,A,A2,80000.0,credit_card,18.89,790.0,794.0,14.0,0,36.0
2000.0, 36 months,6.71,A,A3,32000.0,credit_card,9.0,680.0,684.0,11.0,0,36.0
27000.0, 60 months,7.89,A,A5,150000.0,debt_consolidation,15.4,740.0,744.0,35.0,0,60.0
6800.0, 36 months,7.34,A,A4,40000.0,credit_card,30.42,770.0,774.0,11.0,0,36.0
5000.0, 36 months,7.99,A,A5,32700.0,debt_consolidation,18.37,710.0,714.0,12.0,1,36.0
25000.0, 36 months,8.9,A,A5,95600.0,debt_consolidation,10.18,725.0,729.0,36.0,2,36.0
2000.0, 36 months,7.97,A,A5,85000.0,home_improvement,16.26,690.0,694.0,19.0,0,36.0
8000.0, 36 months,5.32,A,A1,60000.0,home_improvement,24.74,750.0,754.0,36.0,2,36.0
22000.0, 36 months,7.9,A,A4,45000.0,debt_consolidation,17.17,735.0,739.0,37.0,2,36.0
15000.0, 36 months,8.19,A,A5,66000.0,credit_card,26.08,700.0,704.0,12.0,2,36.0
2500.0, 36 months,7.07,A,A2,26000.0,home_improvement,39.38,805.0,809.0,16.0,0,36.0
10000.0, 36 months,6.46,A,A1,40000.0,debt_consolidation,17.88,695.0,699.0,4.0,0,36.0
6025.0, 36 months,8.81,A,A5,70000.0,credit_card,13.7,705.0,709.0,4.0,0,36.0
20000.0, 36 months,8.9,A,A5,52000.0,debt_consolidation,22.73,710.0,714.0,36.0,2,36.0
5000.0, 36 months,6.89,A,A3,60000.0,credit_card,3.52,700.0,704.0,11.0,2,36.0
9000.0, 36 months,7.9,A,A4,99000.0,credit_card,11.47,705.0,709.0,28.0,2,36.0
12000.0, 60 months,8.49,A,A5,60000.0,debt_consolidation,19.78,780.0,784.0,18.0,1,60.0
35000.0, 36 months,6.92,A,A4,82500.0,credit_card,23.0,725.0,729.0,22.0,2,36.0
6000.0, 36 months,6.46,A,A1,35000.0,debt_consolidation,1.65,775.0,779.0,2.0,0,36.0
15000.0, 36 months,7.62,A,A3,70000.0,debt_consolidation,23.85,725.0,729.0,33.0,2,36.0
12800.0, 36 months,5.99,A,A2,65000.0,medical,15.95,755.0,759.0,27.0,2,36.0
20000.0, 36 months,7.69,A,A4,95000.0,debt_consolidation,9.31,690.0,694.0,36.0,2,36.0
12000.0, 36 months,6.99,A,A3,65000.0,debt_consolidation,34.47,755.0,759.0,17.0,2,36.0
8000.0, 36 months,8.46,A,A5,40000.0,credit_card,19.77,660.0,664.0,4.0,0,36.0
15000.0, 36 months,8.9,A,A5,185000.0,debt_consolidation,12.32,725.0,729.0,22.0,2,36.0
27500.0, 36 months,6.08,A,A2,52000.0,credit_card,31.46,790.0,794.0,16.0,0,36.0
10000.0, 36 months,5.32,A,A1,83000.0,debt_consolidation,19.3,780.0,784.0,19.0,0,36.0
3600.0, 36 months,6.72,A,A3,48000.0,credit_card,15.25,730.0,734.0,13.0,0,36.0
40000.0, 36 months,7.96,A,A5,87000.0,debt_consolidation,7.18,720.0,724.0,11.0,0,36.0
7000.0, 36 months,8.9,A,A5,70000.0,small_business,4.1,720.0,724.0,35.0,2,36.0
24500.0, 36 months,6.11,A,A1,95500.0,credit_card,17.22,740.0,744.0,6.0,0,36.0
20000.0, 36 months,7.59,A,A3,175000.0,debt_consolidation,16.97,705.0,709.0,12.0,2,36.0
28000.0, 60 months,8.39,A,A5,150000.0,credit_card,17.24,715.0,719.0,53.0,0,60.0
24000.0, 36 months,7.89,A,A5,154000.0,debt_consolidation,10.99,690.0,694.0,35.0,0,36.0
2000.0, 36 months,5.32,A,A1,25200.0,other,4.29,750.0,754.0,17.0,0,36.0
10000.0, 36 months,8.46,A,A5,75000.0,debt_consolidation,34.75,710.0,714.0,6.0,0,36.0
8400.0, 36 months,7.84,A,A4,50000.0,debt_consolidation,12.1,715.0,719.0,6.0,0,36.0
10000.0, 36 months,7.89,A,A5,55000.0,debt_consolidation,10.08,720.0,724.0,36.0,2,36.0
18500.0, 36 months,7.9,A,A4,86600.0,credit_card,15.73,685.0,689.0,15.0,1,36.0
7000.0, 36 months,7.39,A,A4,36484.92,vacation,12.86,670.0,674.0,27.0,2,36.0
11500.0, 36 months,7.89,A,A5,62000.0,credit_card,20.02,715.0,719.0,36.0,2,36.0
11000.0, 60 months,6.19,A,A2,90000.0,credit_card,14.84,770.0,774.0,10.0,0,60.0
16000.0, 36 months,7.9,A,A4,110000.0,credit_card,8.69,765.0,769.0,25.0,2,36.0
12000.0, 36 months,5.32,A,A1,108000.0,home_improvement,8.19,740.0,744.0,36.0,2,36.0
3500.0, 36 months,6.08,A,A2,60000.0,debt_consolidation,14.84,765.0,769.0,13.0,0,36.0
11000.0, 36 months,7.99,A,A5,115000.0,other,6.92,755.0,759.0,26.0,0,36.0
15600.0, 36 months,6.72,A,A3,59304.0,debt_consolidation,14.8,740.0,744.0,13.0,0,36.0
24000.0, 36 months,6.03,A,A1,185000.0,major_purchase,0.78,780.0,784.0,10.0,2,36.0
8000.0, 36 months,5.31,A,A1,65000.0,debt_consolidation,8.46,815.0,819.0,11.0,0,36.0
5000.0, 36 months,5.32,A,A1,49320.0,credit_card,27.32,715.0,719.0,34.0,0,36.0
6000.0, 36 months,7.89,A,A5,36000.0,credit_card,20.77,680.0,684.0,37.0,2,36.0
20000.0, 36 months,8.9,A,A5,120000.0,debt_consolidation,13.38,725.0,729.0,7.0,2,36.0
5000.0, 36 months,7.39,A,A4,126667.0,home_improvement,18.17,765.0,769.0,5.0,2,36.0
10000.0, 36 months,8.9,A,A5,60000.0,debt_consolidation,13.53,715.0,719.0,31.0,2,36.0
10000.0, 36 months,7.07,A,A2,55000.0,debt_consolidation,4.78,740.0,744.0,22.0,0,36.0
39200.0, 36 months,5.32,A,A1,350000.0,other,4.61,720.0,724.0,6.0,2,36.0
8400.0, 36 months,7.21,A,A3,70000.0,credit_card,13.36,710.0,714.0,6.0,0,36.0
25000.0, 36 months,7.12,A,A3,120000.0,debt_consolidation,13.03,755.0,759.0,34.0,2,36.0
7000.0, 36 months,6.07,A,A2,59000.0,credit_card,14.46,710.0,714.0,9.0,0,36.0
10500.0, 36 months,7.97,A,A5,57800.0,credit_card,16.36,735.0,739.0,10.0,2,36.0
2400.0, 36 months,7.35,A,A4,50000.0,medical,17.4,810.0,814.0,1.0,2,36.0
15000.0, 36 months,7.89,A,A5,200000.0,credit_card,19.06,675.0,679.0,31.0,2,36.0
6000.0, 36 months,5.99,A,A2,29000.0,debt_consolidation,12.5,735.0,739.0,34.0,2,36.0
5400.0, 36 months,5.32,A,A1,98000.0,credit_card,6.88,735.0,739.0,19.0,2,36.0
28000.0, 36 months,7.69,A,A4,300000.0,debt_consolidation,6.93,780.0,784.0,36.0,2,36.0
21000.0, 36 months,7.62,A,A3,95000.0,credit_card,27.84,740.0,744.0,21.0,2,36.0
20000.0, 36 months,7.84,A,A4,350000.0,debt_consolidation,20.9,710.0,714.0,6.0,0,36.0
10000.0, 36 months,7.69,A,A4,80000.0,home_improvement,24.51,735.0,739.0,10.0,2,36.0
4000.0, 36 months,7.84,A,A4,45000.0,debt_consolidation,11.07,785.0,789.0,6.0,0,36.0
40000.0, 36 months,7.39,A,A4,145000.0,home_improvement,15.6,720.0,724.0,17.0,2,36.0
24000.0, 36 months,7.49,A,A4,390000.0,debt_consolidation,6.15,680.0,684.0,22.0,2,36.0
8000.0, 36 months,5.32,A,A1,190000.0,major_purchase,7.69,805.0,809.0,23.0,0,36.0
9000.0, 36 months,7.26,A,A4,129000.0,debt_consolidation,11.12,730.0,734.0,34.0,2,36.0
9150.0, 36 months,8.39,A,A5,70000.0,credit_card,12.46,670.0,674.0,31.0,2,36.0
10000.0, 36 months,6.68,A,A3,104000.0,debt_consolidation,11.19,675.0,679.0,35.0,2,36.0
35000.0, 36 months,8.46,A,A5,80000.0,credit_card,33.9,730.0,734.0,8.0,0,36.0
16800.0, 36 months,7.07,A,A2,89600.0,debt_consolidation,23.83,755.0,759.0,16.0,2,36.0
5000.0, 36 months,6.72,A,A3,91920.0,other,14.18,750.0,754.0,15.0,0,36.0
40000.0, 36 months,6.07,A,A2,100000.0,debt_consolidation,7.62,715.0,719.0,10.0,0,36.0
18000.0, 36 months,6.89,A,A3,127000.0,credit_card,13.77,715.0,719.0,36.0,2,36.0
15000.0, 36 months,8.39,A,A5,222000.0,debt_consolidation,25.71,665.0,669.0,31.0,2,36.0
7500.0, 36 months,6.49,A,A2,81000.0,debt_consolidation,24.56,680.0,684.0,13.0,2,36.0
15000.0, 60 months,7.89,A,A5,97000.0,debt_consolidation,19.41,765.0,769.0,40.0,0,60.0
20400.0, 36 months,6.62,A,A2,120000.0,credit_card,9.9,720.0,724.0,8.0,2,36.0
19250.0, 36 months,8.08,A,A5,36000.0,credit_card,33.4,700.0,704.0,8.0,0,36.0
2500.0, 36 months,8.08,A,A5,24000.0,debt_consolidation,23.5,760.0,764.0,10.0,0,36.0
3000.0, 36 months,7.97,A,A5,45000.0,home_improvement,1.33,780.0,784.0,19.0,0,36.0
18000.0, 36 months,6.67,A,A2,80000.0,other,18.44,785.0,789.0,6.0,0,36.0
20000.0, 36 months,8.9,A,A5,104000.0,home_improvement,18.82,735.0,739.0,36.0,2,36.0
20000.0, 36 months,5.31,A,A1,75000.0,credit_card,10.34,675.0,679.0,11.0,0,36.0
5000.0, 36 months,7.97,A,A5,126000.0,credit_card,6.76,695.0,699.0,14.0,0,36.0
3000.0, 36 months,5.32,A,A1,65000.0,credit_card,9.16,790.0,794.0,11.0,2,36.0
6000.0, 36 months,7.49,A,A4,90000.0,credit_card,3.71,675.0,679.0,15.0,2,36.0
12000.0, 36 months,6.71,A,A3,96000.0,debt_consolidation,27.89,825.0,829.0,2.0,2,36.0
8000.0, 36 months,7.21,A,A3,72000.0,debt_consolidation,20.35,800.0,804.0,16.0,0,36.0
4800.0, 36 months,7.26,A,A4,55000.0,home_improvement,12.26,785.0,789.0,37.0,2,36.0
20000.0, 36 months,6.97,A,A3,110000.0,home_improvement,8.46,765.0,769.0,24.0,2,36.0
